movieID,genreID
tt3183660,g03
tt3183660,g15
tt3183660,g13
tt0119116,g01
tt0119116,g03
tt0119116,g04
tt1790864,g01
tt1790864,g07
tt1790864,g04
tt1895587,g10
tt1895587,g02
tt1895587,g00
tt1291584,g01
tt1291584,g00
tt1291584,g18
tt0298148,g03
tt0298148,g14
tt0298148,g11
tt4425200,g01
tt4425200,g02
tt4425200,g06
tt1430132,g01
tt1430132,g04
tt2245084,g01
tt2245084,g03
tt2245084,g14
tt1568346,g02
tt1568346,g00
tt1568346,g07
tt1535109,g01
tt1535109,g10
tt1535109,g02
tt0372183,g01
tt0372183,g07
tt0372183,g06
tt1454029,g00
tt0362227,g11
tt0362227,g00
tt0362227,g05
tt1951265,g01
tt1951265,g03
tt1951265,g04
tt1840309,g01
tt1840309,g03
tt1840309,g07
tt1099212,g00
tt1099212,g13
tt1099212,g05
tt0398286,g03
tt0398286,g14
tt0398286,g11
tt2527338,g01
tt2527338,g03
tt2527338,g13
tt0327056,g02
tt0327056,g00
tt0327056,g07
tt0335266,g11
tt0335266,g00
tt1515091,g01
tt1515091,g03
tt1515091,g07
tt0367882,g01
tt0367882,g03
tt0101414,g14
tt0101414,g15
tt0101414,g13
tt1723121,g11
tt1723121,g02
tt2980516,g10
tt2980516,g00
tt2980516,g05
tt0974015,g01
tt0974015,g03
tt0974015,g13
tt0887912,g00
tt0887912,g06
tt0887912,g09
tt0099088,g03
tt0099088,g11
tt0099088,g04
tt0319262,g01
tt0319262,g03
tt0319262,g04
tt0407304,g01
tt0407304,g03
tt0407304,g04
tt1499658,g11
tt1499658,g02
tt0830515,g01
tt0830515,g03
tt0830515,g07
tt1535108,g01
tt1535108,g00
tt1535108,g04
tt1677720,g01
tt1677720,g03
tt1677720,g04
tt0217505,g02
tt0217505,g00
tt6710474,g01
tt6710474,g03
tt6710474,g11
tt0325710,g01
tt0325710,g00
tt2103281,g01
tt2103281,g03
tt2103281,g00
tt2379713,g01
tt2379713,g03
tt2379713,g06
tt0139654,g01
tt0139654,g02
tt0139654,g00
tt0405422,g11
tt0405422,g05
tt0319061,g03
tt0319061,g00
tt0319061,g13
tt1596363,g10
tt1596363,g11
tt1596363,g00
tt3397884,g01
tt3397884,g02
tt3397884,g00
tt3385516,g01
tt3385516,g03
tt3385516,g04
tt0780536,g11
tt0780536,g02
tt0780536,g00
tt0382625,g07
tt0382625,g06
tt0120616,g01
tt0120616,g03
tt0120616,g13
tt0375679,g02
tt0375679,g00
tt0375679,g06
tt0446029,g01
tt0446029,g11
tt0446029,g13
tt1210166,g10
tt1210166,g00
tt1210166,g18
tt9419884,g01
tt9419884,g03
tt9419884,g13
tt0317219,g03
tt0317219,g14
tt0317219,g11
tt0117060,g01
tt0117060,g03
tt0117060,g06
tt0103639,g03
tt0103639,g14
tt0103639,g11
tt1772341,g03
tt1772341,g14
tt1772341,g11
tt0765429,g10
tt0765429,g02
tt0765429,g00
tt0120591,g01
tt0120591,g03
tt0120591,g04
tt0458352,g11
tt0458352,g00
tt0387564,g17
tt0387564,g07
tt0387564,g06
tt1605783,g11
tt1605783,g13
tt1605783,g05
tt0360717,g01
tt0360717,g03
tt0360717,g00
tt5580390,g00
tt5580390,g13
tt5580390,g05
tt3170832,g00
tt3170832,g06
tt1259521,g17
tt1259521,g07
tt1259521,g06
tt0942385,g01
tt0942385,g11
tt0942385,g09
tt0119567,g01
tt0119567,g03
tt0119567,g04
tt0217869,g00
tt0217869,g07
tt0217869,g04
tt5095030,g01
tt5095030,g03
tt5095030,g11
tt1014759,g03
tt1014759,g15
tt1014759,g13
tt0289043,g00
tt0289043,g17
tt0289043,g04
tt1217209,g03
tt1217209,g14
tt1217209,g11
tt1637688,g01
tt1637688,g04
tt1637688,g06
tt0443453,g11
tt0831387,g01
tt0831387,g03
tt0831387,g04
tt1245492,g11
tt1245492,g13
tt1355644,g00
tt1355644,g05
tt1355644,g04
tt0105695,g00
tt0105695,g08
tt1950186,g01
tt1950186,g10
tt1950186,g00
tt2382320,g01
tt2382320,g03
tt2382320,g06
tt1399103,g01
tt1399103,g03
tt1399103,g04
tt0351283,g03
tt0351283,g14
tt0351283,g11
tt0163651,g11
tt0369339,g01
tt0369339,g02
