movieID,actorID
tt6081670,nm5522886
tt1075110,nm0223464
tt5154288,nm1360837
tt0110366,nm0853779
tt0831888,nm1077107
tt0120857,nm0001132
tt0104756,nm0001811
tt0412536,nm2017943
tt1407084,nm0191412
tt8228288,nm1445349
tt7468056,nm3780600
tt5871080,nm1343442
tt2561546,nm0026364
tt2241605,nm2975962
tt1293847,nm0004874
tt0293429,nm1167985
tt9248940,nm3190972
tt0326905,nm0000973
tt1334260,nm1940449
tt0119282,nm0057363
tt0451850,nm0451321
tt13446168,nm8915933
tt4669264,nm9966942
tt0155388,nm0682070
tt0328099,nm0005085
tt0120596,nm0000799
tt0107206,nm0000518
tt0106471,nm0000200
tt6139732,nm0000226
tt0099810,nm0000554
tt1386932,nm0947447
tt0437857,nm0324462
tt0460829,nm0000718
tt0124901,nm0005048
tt1204975,nm0000134
tt1568346,nm0001626
tt11083552,nm6875258
tt0437954,nm0059215
tt1268809,nm0033165
tt0455407,nm1725848
tt0379225,nm1970214
tt1833116,nm3079991
tt14128670,nm0001854
tt3859304,nm0170550
tt0107665,nm0001625
tt0310203,nm0244707
tt0105585,nm0911542
tt8550054,nm8923002
tt0120882,nm0000606
tt8574252,nm5180933
tt8747160,nm1146265
tt0105130,nm0000110
tt10627584,nm0000047
tt1725795,nm4572244
tt5095030,nm1431940
tt0101452,nm0006669
tt0997047,nm0480775
tt9647768,nm5346530
tt9770150,nm0000657
tt0363473,nm0098378
tt6079516,nm4977122
tt2387499,nm2933757
tt0107953,nm0164918
tt0111341,nm0269841
tt0181288,nm0096013
tt0408017,nm1625479
tt0348333,nm0267506
tt1480656,nm0000300
tt4034228,nm0931329
tt12412888,nm0005188
tt15145764,nm6195447
tt10627584,nm0139528
tt3721954,nm0741388
tt1146325,nm1229940
tt1705952,nm1553725
tt0498381,nm0000352
tt0421082,nm0487884
tt1232776,nm1663573
tt2172985,nm0000621
tt0120032,nm0000227
tt0937375,nm1551922
tt9735758,nm8525654
tt0264472,nm0823940
tt0107207,nm0000358
tt6218010,nm0000216
tt0109067,nm0537698
tt0110005,nm0001491
tt0113409,nm0001638
tt0109831,nm0281424
tt12393526,nm9263896
tt4731136,nm2851530
tt1663662,nm0402271
tt1146325,nm0700875
tt0113083,nm0248364
tt10773090,nm1121870
tt0270707,nm0000242
tt3702652,nm0005438
tt0391304,nm0005110
tt1434435,nm0454809
tt1650062,nm0151419
tt0114681,nm0001618
tt0437857,nm0748289
tt4120176,nm0778568
tt6516314,nm2939030
